"","Player","Date","Team","Position","TOI","G","A1","A2","iCF","iFF","iSF","ixG","iSCF","iFOW","iFOL","iPENT","iPEND","iHF","iHA","iGVA","iTKA","iBLK","A","P","P1","G60","A60","P60","P160","iCF60","iFF60","iSF60","ixG60","ixFSh%","iSCF60","iFO%","iPENDIFF","iSh%","iCSh%","iFSh%"
"26","SIDNEY.CROSBY","2016-05-24","PIT","C",15.28,1,0,0,5,5,4,0.17,0,12,10,0,0,2,2,1,0,1,0,1,1,3.93,0,3.93,3.93,19.63,19.63,15.71,0.68,3.47,0,0.55,0,25,20,20
"27","SIDNEY.CROSBY","2016-05-22","PIT","C",12.97,0,0,0,2,2,1,0.04,0,9,7,0,0,1,1,0,1,1,0,0,0,0,0,0,0,9.25,9.25,4.63,0.17,1.79,0,0.56,0,0,0,0
"28","SIDNEY.CROSBY","2016-05-20","PIT","C",13.22,0,0,0,1,1,1,0.03,0,8,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.54,4.54,4.54,0.16,3.46,0,0.5,0,0,0,0
"29","SIDNEY.CROSBY","2016-05-18","PIT","C",15.5,0,0,0,6,5,5,0.19,0,12,6,0,0,1,3,0,2,0,0,0,0,0,0,0,0,23.23,19.35,19.35,0.74,3.83,0,0.67,0,0,0,0
"30","SIDNEY.CROSBY","2016-05-16","PIT","C",15.8,1,0,0,8,7,6,0.41,2,10,12,0,1,5,1,0,1,0,0,1,1,3.8,0,3.8,3.8,30.38,26.58,22.78,1.57,5.92,7.59,0.45,1,16.67,12.5,14.29
"31","SIDNEY.CROSBY","2016-05-13","PIT","C",14.75,0,0,0,1,0,0,0,0,3,7,0,0,2,2,1,0,0,0,0,0,0,0,0,0,4.07,0,0,0,NA,0,0.3,0,NA,0,NA
"32","SIDNEY.CROSBY","2016-05-10","PIT","C",17.23,0,0,0,3,3,2,0.09,0,12,8,0,0,3,1,1,1,0,0,0,0,0,0,0,0,10.45,10.45,6.96,0.3,2.86,0,0.6,0,0,0,0
"33","SIDNEY.CROSBY","2016-05-07","PIT","C",15.97,0,0,0,6,5,3,0.29,1,5,7,0,0,3,2,1,4,0,0,0,0,0,0,0,0,22.54,18.79,11.27,1.09,5.79,3.76,0.42,0,0,0,0
"34","SIDNEY.CROSBY","2016-05-04","PIT","C",10.98,0,0,1,1,1,0,0.01,0,7,6,0,1,2,2,0,1,0,1,1,0,0,5.46,5.46,0,5.46,5.46,0,0.05,0.99,0,0.54,1,NA,0,0
"35","SIDNEY.CROSBY","2016-05-02","PIT","C",14.24,0,0,0,3,2,1,0.15,1,11,6,0,0,1,3,0,0,0,0,0,0,0,0,0,0,12.64,8.43,4.21,0.62,7.31,4.21,0.65,0,0,0,0
